std_dev,rms,min_val,max_val,zero_crossings,mean_amp_change,amp_first_pulse,mean_abs_val,waveform_length,wilson_amp,label
0.014079595,0.016973234,-0.054688,0.039063,69,0.015834883,0.023438,0.013125083,2.3593975,0.016973234,index_finger
0.012463274,0.015690097,-0.046875,0.039063,62,0.013685111,0.015625,0.012656327,2.0390815,0.015690097,index_finger
0.016655981,0.01940061,-0.10156,0.0625,65,0.015520198,0.023438,0.01380213,2.3125095,0.01940061,index_finger
0.016235477,0.019040829,-0.078125,0.046875,72,0.016411607,0.0078125,0.0133855,2.4453295,0.019040829,index_finger
0.014515285,0.01759704,-0.070313,0.03125,78,0.016935943,0.015625,0.01328132,2.5234555,0.01759704,index_finger
0.015030117,0.017769652,-0.085938,0.03125,73,0.016254352,0.023438,0.0137501,2.4218985,0.017769652,index_finger
0.014706047,0.017329074,-0.070313,0.046875,73,0.016778634,0.0078125,0.0130209,2.5000165,0.017329074,index_finger
0.013481637,0.01681667,-0.054688,0.046875,73,0.015782426,0.015625,0.01328133,2.3515815,0.01681667,index_finger
0.012405993,0.015934554,-0.046875,0.03125,74,0.014366725,0,0.012395907,2.140642,0.015934554,index_finger
0.013287076,0.016474455,-0.070313,0.03125,85,0.015520282,0.015625,0.012968843,2.312522,0.016474455,index_finger
0.012619864,0.015690092,-0.054688,0.039063,71,0.012898591,0.0078125,0.012031323,1.92189,0.015690092,index_finger
0.013829203,0.016707441,-0.070313,0.023438,74,0.015677567,0.0078125,0.01312508,2.3359575,0.016707441,index_finger
0.012827421,0.01613755,-0.046875,0.03125,74,0.01452404,0,0.013229247,2.164082,0.01613755,index_finger
0.014509251,0.017446137,-0.046875,0.070313,69,0.015834899,0.015625,0.013750107,2.3594,0.017446137,index_finger
0.012402084,0.015546823,-0.054688,0.023438,83,0.014314312,0,0.011979253,2.1328325,0.015546823,index_finger
0.01233857,0.015402164,-0.039063,0.03125,68,0.012688852,0.0078125,0.012031317,1.890639,0.015402164,index_finger
0.011707756,0.015296152,-0.039063,0.023438,74,0.013475393,0.015625,0.012448003,2.0078335,0.015296152,index_finger
0.016581029,0.019609355,-0.09375,0.070313,60,0.016778678,0.0078125,0.014739683,2.500023,0.019609355,index_finger
0.013685621,0.016707415,-0.085938,0.03125,81,0.014786181,0,0.011875063,2.203141,0.016707415,index_finger
0.014854748,0.017677817,-0.070313,0.03125,77,0.016831094,0.015625,0.01354176,2.507833,0.017677817,index_finger
0.012826155,0.016010994,-0.039063,0.023438,74,0.014576483,0.015625,0.012395913,2.171896,0.016010994,index_finger
0.014648808,0.017562374,-0.070313,0.046875,80,0.017303057,0.023438,0.013541777,2.5781555,0.017562374,index_finger
0.012114489,0.015741877,-0.046875,0.023438,67,0.013475372,0.015625,0.012552163,2.0078305,0.015741877,index_finger
0.011845487,0.015269526,-0.039063,0.015625,61,0.012374279,0.0078125,0.012239667,1.8437675,0.015269526,index_finger
0.013060059,0.016137571,-0.046875,0.023438,71,0.014261893,0.0078125,0.01281259,2.125022,0.016137571,index_finger
0.014883161,0.017815336,-0.054688,0.046875,75,0.016673772,0.015625,0.013750063,2.484392,0.017815336,index_finger
0.011323148,0.015175944,-0.046875,0.015625,68,0.01378997,0.015625,0.012395903,2.0547055,0.015175944,index_finger
0.012485375,0.01606178,-0.039063,0.023438,68,0.014524077,0.015625,0.013333447,2.1640875,0.01606178,index_finger
0.014958472,0.01810987,-0.070313,0.039063,69,0.01609703,0.0078125,0.013958423,2.3984575,0.01810987,index_finger
0.012134651,0.01555991,-0.039063,0.054688,68,0.013160822,0.015625,0.012343843,1.9609625,0.01555991,index_finger
0.014417768,0.017457738,-0.054688,0.039063,85,0.017460265,0,0.013072983,2.6015795,0.017457738,index_finger
0.015662308,0.01849889,-0.085938,0.054688,69,0.016044591,0.03125,0.014843847,2.390644,0.01849889,index_finger
0.012887038,0.015844944,-0.046875,0.039063,72,0.014524047,0.023438,0.012343833,2.164083,0.015844944,index_finger
0.012491523,0.015402174,-0.039063,0.039063,77,0.014261859,0.015625,0.012343823,2.125017,0.015402174,index_finger
0.012689749,0.015870591,-0.039063,0.039063,59,0.013685107,0.023438,0.013072993,2.039081,0.015870591,index_finger
